2016-02-01 18:47:53,749 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/main/java
2016-02-01 18:47:53,751 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fabricaweb/src/test/java
2016-02-01 18:47:54,712 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for fabricaweb
2016-02-01 18:47:54,727 [Worker-33] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-02-01 18:47:55,435 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:47:55,490 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\main\resources
2016-02-01 18:47:55,505 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-01 18:47:55,522 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ProLinki\workspace\workspace_fabrica\fabricaweb\src\test\resources
2016-02-01 18:47:55,532 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of fabricaweb
2016-02-01 18:47:55,532 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for fabricaweb
2016-02-01 18:47:55,557 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
